Methods Employed	Overall Pattern	Generic Applications	Specific Behaviors	Acceptance Studies	Management & Internet	Marketing & Internet	Social Interactions & Internet	Law/Policy & Internet	Communication & Internet	Psycho. Processing & Internet	Web Search/e-Library	e-Learning
Theoretical Development	0.054279749	0	0.016949153	0.010526316	0.14953271	0.030534351	0.042553191	0.115789474	0.06741573	0	0.020833333	0.069306931
Review	0.053235908	0.12962963	0.016949153	0.021052632	0.102803738	0.007633588	0	0.052631579	0.06741573	0.027027027	0.104166667	0.069306931
Quantitative Approach	0.594989562	0.555555556	0.881355932	0.957894737	0.411214953	0.877862595	0.414893617	0.326315789	0.460674157	0.864864865	0.489583333	0.475247525
Qualitative Approach	0.191022965	0.240740741	0.084745763	0.010526316	0.214953271	0.015267176	0.468085106	0.263157895	0.303370787	0	0.15625	0.277227723
Others	0.106471816	0.074074074	0	0	0.121495327	0.06870229	0.074468085	0.242105263	0.101123596	0.108108108	0.229166667	0.108910891
Theoretical Development	0.054279749	0	0.016949153	0.010526316	0.14953271	0.030534351	0.042553191	0.115789474	0.06741573	0	0.020833333	0.069306931
Review	0.053235908	0.12962963	0.016949153	0.021052632	0.102803738	0.007633588	0	0.052631579	0.06741573	0.027027027	0.104166667	0.069306931
Survey	0.233820459	0.351851852	0.593220339	0.705263158	0.158878505	0.083969466	0.191489362	0.126315789	0.134831461	0.027027027	0.09375	0.227722772
Experiment	0.145093946	0.092592593	0.254237288	0.189473684	0.056074766	0.160305344	0.010638298	0.042105263	0.056179775	0.783783784	0.1875	0.168316832
Content analysis	0.058455115	0.037037037	0.033898305	0	0.028037383	0.022900763	0.138297872	0.084210526	0.146067416	0	0.072916667	0.04950495
Field data	0.054279749	0.074074074	0	0.021052632	0.065420561	0.13740458	0.031914894	0.010526316	0.02247191	0.054054054	0.114583333	0.01980198
Econometrics	0.052192067	0	0	0.021052632	0.046728972	0.320610687	0	0	0.011235955	0	0	0
Simulation	0.016701461	0	0	0	0.009345794	0.099236641	0	0	0.011235955	0	0.010416667	0
Analyzing published data/statistics	0.021920668	0	0	0.010526316	0.018691589	0.038167939	0.031914894	0.063157895	0.04494382	0	0	0
Others	0.012526096	0	0	0.010526316	0.028037383	0.015267176	0.010638298	0	0.033707865	0	0.010416667	0.00990099
Case study	0.01565762	0.018518519	0.016949153	0.010526316	0.018691589	0	0.074468085	0.010526316	0.02247191	0	0	0
In-depth interview/Focus group	0.054279749	0.12962963	0.06779661	0	0.056074766	0	0.085106383	0.073684211	0.056179775	0	0.010416667	0.138613861
Cultural/Critical studies	0.025052192	0	0	0	0.009345794	0	0.180851064	0.010526316	0.04494382	0	0.010416667	0
Field observation/Ethnography	0.020876827	0.018518519	0	0	0.009345794	0	0.074468085	0.042105263	0.056179775	0	0	0.01980198
Text/Semiotic/Discourse analysis	0.075156576	0.074074074	0	0	0.121495327	0.015267176	0.053191489	0.126315789	0.123595506	0	0.135416667	0.118811881
System evaluation/Algorithm development	0.052192067	0	0	0	0.074766355	0.038167939	0.010638298	0.031578947	0.011235955	0.108108108	0.197916667	0.089108911
Policy/Regulation discussions	0.030271399	0.018518519	0	0	0.018691589	0.022900763	0.021276596	0.157894737	0.06741573	0	0	0
Miscellaneous	0.024008351	0.055555556	0	0	0.028037383	0.007633588	0.042553191	0.052631579	0.02247191	0	0.03125	0.01980198
