	Overall Pattern 	e-Health	e-Health	e-Business	e-Business	e-Business	e-Society	e-Society	e-Society	Human-Technology Interactions	Human-TechnologyInteractions	Human-Technology Interactions 
		Generic Applications	Specific Behaviors	Acceptance Studies	Management & Internet	Marketing & Internet	Social Interactions & Internet	Law/Policy & Internet	Communication & Internet	Psycho. Processing & Internet	Web Search/e-Library	e-Learning
% of the Internet studies considered to be theoretically oriented (i.e., citing theoretical references) 	0.31	0.11	0.28	0.77	0.41	0.37	0.43	0.27	0.27	0.31	0.23	0.28
Diffusion 	0.2	0.11	0.13	0.65	0.29	0.06	0.18	0.25	0.19	0.03	0.07	0.15
Use 	0.29	0.05	0.14	0.59	0.25	0.4	0.23	0.2	0.29	0.26	0.43	0.35
Effects 	0.28	0.17	0.24	0.47	0.16	0.06	0.62	0.33	0.37	0.14	0.09	0.36
Use & Effects 	0.18	0.06	0.19	0.24	0.13	0.05	0.2	0.14	0.16	0.28	0.04	0.34
Structure & Content 	0.07	0.01	0.01	0.02	0.06	0.03	0.23	0.2	0.18	0.01	0.1	0.04
Business Models 	0.15	0.01	0.01	0.4	0.48	0.64	0.07	0.11	0.16	0.01	0.03	0.02
Regulation 	0.01	0	0	0.02	0.01	0	0.03	0.1	0.04	0	0	0
Technical 	0.04	0.01	0.01	0.04	0.05	0.01	0.04	0.06	0.04	0.02	0.12	0.04
Non-Internet 	0.07	0.06	0.05	0.04	0.03	0.01	0.13	0.07	0.04	0.32	0.03	0.09
